13º salário;Christmas bonus
taxa de câmbio histórica;historical exchange rate
taxa de câmbio preferencial;preferential rate of exchange
taxa de conversão;conversion rate
taxa de crescimento;growth rate, rate of growth
taxa de crescimento anual;annual growth rate
taxa de crescimento econômico;economic growth rate
taxa de depreciação;depreciation rate
taxa de desconto;discount rate
taxa de desemprego;unemployment rate
taxa de despesas indiretas;overhead rate
taxa de fechamento (câmbio);closing rate
taxa de imposto de renda incidente sobre as empresas;corporate tax rate
taxa de inflação;inflation rate, rate of inflation
taxa de inscrição;admission fee, registration fee, enrollment fee
taxa de juros;interest rate, rate of interest
Taxa de Juros a Longo Prazo - TJLP;Long-Term Interest Rate - TJLP
taxa de juros efetiva;effective rate of interest
taxa de juros fixada;stated interest rate
taxa de juros imputada, taxa de juros embutida;imputed interest rate
taxa de matrícula;entrance fee
taxa de mercado em vigor;prevailing market rate
taxa de mortalidade;mortality rate
taxa de mortalidade infantil;child mortality rate
taxa de remuneração de poupança;savings remuneration rate
taxa de rendimento;yield
taxa de retorno;rate of return
taxa de retorno adequada;fair rate of return
taxa de retorno contábil;accounting rate of return
taxa de retorno efetiva;effective rate of return
taxa de rotatividade;turnover rate
taxa em vigor, taxa efetiva;effective rate, ruling rate
taxa fixa;"flat fee (Fin); fixed rate (Seg)"
taxa horária;hourly rate
Taxa Interbancária de Londres - LIBOR (Reino Unido);London Interbank Offered Rate - LIBOR (UK)
taxa média;middle rate
taxa média composta;composite average rate
taxa média de swap;swap average rate
taxa mínima;minimum rate
taxa múltipla;multiple rate
taxa oficial de câmbio;official exchange rate
taxa padrão;standard rate
Taxa Referencial - TR;Referential Rate - TR
Taxa Referencial Diária - TRD;Daily Referential Rate - TRD
taxa sem risco;risk-free rate
taxa suplementar;supplementary rate
taxa uniforme;flat rate
taxação;assessment, levy
taxas cruzadas;cross rates
taxas plenas;full rates
tecido;fabric
técnica;technique
técnicas de auditoria;audit techniques
técnicas de redução de custo;cost-saving techniques
tecnocracia;technocracy
tecnologia;technology
tecnologia comprada, tecnologia adquirida;purchased technology
Tecnologia da Informação - TI;Information Technology - IT
tecnologia de ponta;leading edge technology, state-of-the-art
tecnologia do produto;product technology
telecomunicações;telecommunications
Telecomunicações Brasileiras S.A. - TELEBRÁS;Brazilian Telecommunications Company - TELEBRÁS
telefonista;operator
telex enviados;outgoing telex
telex recebidos;incoming teles
tempo (horas) debitável (em trabalho profissional);chargeable time
tempo de espera;lead time
tempo de máquina;machine time
tempo de preparo;set-up time
tempo de serviço;length of service
tempo hábil;timely basis
tempo integral;full time
tempo ocioso;"idle time; down time"
tempo padrão;standard time
tempo padrão (de preparo de máquina);standard preparation hours
tempo parcial;part time
tendência;bias
tendência inflacionária;inflationary trend
tendências do mercado;market forces
tentativa;"tentative; attempt"
teor;wording
ter êxito;take off, be successful
ter notícias de;hear from
ter recursos;afford
terceirização;outsourcing
terceirizar;outsource
terceiro (pessoa ou empresa);third party
terceiro responsável;liable third party
terminar;finish, adjourn
termo de responsabilidade;liability commitment, undertaking
termos (mercado futuro) negociados particularmente;privately-negotiated forwards
tesouraria;treasury department
tesoureiro;treasurer
testa de ferro;man of straw, dummy
testamenteiro;executor
testamento;will
teste de aptidão;aptitude test
teste de auditoria;audit test
teste de comprovação, teste comprobatório, teste substantivo;substantive test
teste de cumprimento, teste de aderência, teste de observância;compliance test
teste de custo ou mercado;cost or market test
teste de dupla finalidade;dual-purpose test
teste de mercado;market test
teste de rotina;routine test
teste em bloco;block test
teste por critério pessoal;judgement test
testemunha;witness
texto de exposição provisório;exposure draft
textura;fabric
timbre;letterhead
tino empresarial;business judgment
tipo;type
título;"heading, title; note, security"
título (nota promissória) assinado;signed note
título a curto prazo;short-term security
título a médio prazo;medium-dated security
título a pagar;note payable
título ao portador;bearer security
título com garantia hipotecária;mortgage note
título cotado em bolsa;listed security, quoted security
título de conta;account title, account heading, caption
título de grande segurança (Reino Unido);gilt-edged security (UK)
título de renda fixa;fixed-income security
título governamental;government security
título mobiliário;security
título mobiliário garantido por hipoteca;mortgage bond
título municipal (de dívida);municipal bond
título não cotado em bolsa;unlisted security
título não pago;dishonored bill
título negociável;negotiable instrument
título representativo de dívida;debt security
título sem cotação no mercado;non-marketable security
títulos a receber;notes receivable
títulos com características de opções;securities with options characteristics
títulos conversíveis;convertible securities
Títulos da Dívida Agrária - TDA;Agricultural Debt Securities
Títulos de Desenvolvimento Econômico - TDE;Economic Development Notes
títulos de dívida pública;public debt securities
títulos de investimentos;investment securities
títulos derivativos;derivative securities
títulos e depósitos estruturados;structured securities and deposits
títulos ex-rendimentos;stripped securities
títulos governamentais;governmanet securities
títulos quase-governamentais;quasi-governmental securities
todos os riscos;all risks insurance
tomada de decisão;decision-making
tomador de empréstimo;borrower
tomar emprestado;borrow
tomar providências;take steps
tonelada;ton
tonelagem;tonnage
total de prêmios da carteira;total portfolio premium
total transportado;brought forward
trabalhar com ferramenta;tool
trabalho de campo;field work
trabalho em equipe;team work
trabalho em horas de folga;spare time work
trabalho escravo, trabalho servil;slave work
trabalho inicial, primeiro trabalho;initial engagement
tradutor juramentado;official translator
tráfego de ida e volta;shuttle
trajetória;flight, path
tramitação;proceduring
trâmites;procedural steps
transação;transaction
transação;transaction
transação com assessoria;assisted transaction
transação comercial;business transaction
transação em bloco (Reino Unido);block trade (UK)
transação entre companhias (de um mesmo grupo);intercompany transaction
transações a termo;forward transactions
transações a vista;spot transactions
transações com moeda estrangeira;foreign currency transactions
transações de arbitragem;arbitrage transactions
transações dentro da mesma empresa;intracompany transactions
transações entre partes relacionadas;related party transactions
transações internacionais de crédito documentário;international documentary credit transactions
transcrever;transcribe
transcrever (o lançamento do diário para o razão);post
transferência;transfer, pass-through
transferência de fundos;money transfer
transferência de risco;risk transfer
transferência eletrônica;wire transfer
transferência título de propriedade;passage of title
transgressão;trespass
transmissão do seguro;transfer of insurance
transnacional;transnational
transparência de informações (administração, demonstrações financeiras, etc.);transparency of information (administration, financial statements, etc.)
transpirar (informação);leak
transportado pelo ar;airborne, air freighted
transportador;carrier
transportar de volta;carry back
transporte (de soma);carry forward
transporte aéreo;air cargo
transporte de soma para linha inferior, na mesma página;carry down
transporte rodoviário;inland transit
transtorno;trouble
tratado;treaty
tratados de investimentos bilaterais;bilateral investment treaties
